"A lot of content was deleted by the one who uploaded it. If you have backups for any removed items, please submit them here.",,
Response,Timestamp,Write below any feedback you have.
"Good points brought up, thanks for the feedback. I'll remove the OFFLINE and ARCHIVE links.

For the (OLD) links, yeah, that's pretty much that reason. A combination of there being some working links in them that aren't in the guide resources and I guess just as a keepsake thing since that pastebin is about as old as the threads are. You can pester guide-anon about it via suggestion mode on the guide resources doc or a direct email (a direct email will be fastest since he doesn't really respond via this feedback form).

As for the PUBLIC QC section, that was more a matter of the person who was maintaining the decks said he would periodically update the decks with the submitted changes. If anyone else is up to the task I can give them edit access to the spreadsheet so they can maintain the deck and QC spreadsheet.",07/06/2016 07:38:29,"Is the (PUBLIC QC) link on the front page worth removing by this point to clear up the layout a little? The last addition was last year and there hasn't been any interest in adding any corrections, assuming there are still at least some minor typographical errors remaining, within the threads themselves. 

The link to the djt threads on desustorage
https://desustorage.org/a/search/subject/djt/
wouldn't something like that be better off not directly linked on the front page? I mean, it's kind of really, really overt spoonfeeding that would only benefit people who don't even browse /a/. 

Another thing is that having MOBILE DEVICES (OLD) and RESOURCES (OLD) up are kind of redundant and a lot of the links no longer work. For the links that do work and aren't in the current GUIDE RESOURCE LIST link, wouldn't it be better to put those links in that document and get rid of the out of date links from the front page? 
Also, is it really necessary to keep the OFFLINE link up? 

To summarise: 
Removing the following headings:
(PUBLIC QC)
OFFLINE
MOBILE DEVICES (OLD)
RESOURCES (OLD)
ARCHIVE
from the front page would clear it up and give it more focus.

Just an observation from someone who thinks that the front page is a little cluttered at the moment and that less links equals more focused direction."
,17/06/2016 18:38:20,"pls make the fucking cor tabs english already newfags ignore them completely

and make the instructional/decks/texts tab the default"
,17/06/2016 19:13:16,"”I too don't know, was it important? Since it's a beginner guide and was written in moon I assumed I should only care about it once I could read it”"
,18/06/2016 10:50:27,"Fuck newfags.
If they are too stupid to copy/paste headings they don't know (which are already obvious from context of the spreadsheet, regardless of the language) then they don't deserve access to the goods. "
,18/06/2016 12:24:08,"fuck the anon that responded before me, he can't learn japanese because he's too busy worrying about people who literally don't know anything to bother studying properly himself"
,18/06/2016 15:49:09,"I'm wondering if the Pastebin maintainer would be willing to replace the Core 2K/6K deck with a slightly altered version that changes most of the kana-only words to kanji (おいしい -> 美味しい) and replaces some of the sloppier definitions with JMDict ones (such as 摘む/つまむ being defined as ""munch on"" instead of the correct ""pinch"")."
done,19/06/2016 08:31:28,Suggestion: Update the static reading list to the current version of the dynamic reading list which has been re-organised and tidied up.
,29/06/2016 14:32:46,"Kanzen 1 & 2 (grammar) anki deck:

https://mega.nz/#F!khBEnSqT!kaxC9BzxtJ7pXJa3vhPSUw



All About Particles anki deck:

https://mega.nz/#F!Ftpg1BTa!ya1Z3cx-82jShT_4cD4ReA



An Integrated Approach to Intermediate Japanese:

(book, audio, anki deck)

https://mega.nz/#F!Mkoi3IBD!dBSeSv8DKXcLrF0yJSA4HQ
"
,30/06/2016 15:03:19,"Tobira anki deck

https://mega.nz/#!d4RSDCLb!4L4ddTeaND-yBWbnw0bSBK0KpBGSUHNFt5Nv_PQbbu8

Two alternative Genki decks

https://mega.nz/#F!U1ZEDRTZ!a_IPkpkONl13ud-I_NIvfw"
,27/07/2016 03:24:17,"Here is some  Jap TV suggestions links:

http://moko-reloaded.neocities.org/ and mokodojo.net two big JTV streaming site which uses iptv channels (laggy)
vaugnlive streams (livestreamer is recommended to pipe through vlc/mpc):
http://vaughnlive.tv/sherming5555
http://vaughnlive.tv/sherming3333
http://vaughnlive.tv/miyamuseibu
http://vaughnlive.tv/potala
http://vaughnlive.tv/sherming99
http://vaughnlive.tv/sherming88
http://vaughnlive.tv/sherming777
http://vaughnlive.tv/sherming666
http://vaughnlive.tv/sherming6666
http://vaughnlive.tv/ducktoaster

Also for VOD:
tver.jp (region locked so use https://addons.mozilla.org/en-US/firefox/addon/add-x-forwarded-for-header/ and put any jpn ip in it)"
,27/07/2016 15:18:03,"JapanesePod101 Anki Deck 

http://www.mediafire.com/download/3fp9f5trbzsseqi/JapanesePod101+Vocabulary.apkg"
,27/07/2016 15:19:20,"JapanesePod101 Anki Deck

http://www.mediafire.com/download/3fp9f5trbzsseqi/JapanesePod101+Vocabulary.apkg"
,28/07/2016 02:26:59,Gift from the CoR from The World: https://mega.nz/#!tENkRAIJ!ynh1Jtw8mTeIxhH11fDVN3EYi__K4c7bkjJFTEvbJPg
,29/07/2016 01:06:51,"""Just Kana"" deck: 
https://mega.nz/#!xQkFXI6a!d-9Sf4ESx85eWwPpR5NH46HiaNkhjkmqaGJx53ZVP0I"
,29/07/2016 16:42:11,"Vocab Lists for JLPT N1-4 (old levels) are here:
http://www.thbz.org/kanjimots/jlpt.php3
but a more usable ANKI deck based on those here:
https://ankiweb.net/shared/info/403899625
Very good to learn vocab before taking exam, time to stop being a lazy baka, and anki the shit out of it before the December JLPT, anon!"
,30/07/2016 04:13:38,"http://forum.koohii.com/thread-13948.html

]add dis hsit"
,31/07/2016 07:11:25,"Thanks to that anon for TV streaming links, but they all lag as hell (as if someone pauses the video every 2 seconds or so), are there any streaming solutions/links that do not lag?"
,03/08/2016 07:30:15,"Kanji Stroke Order font has been recently updated to v4.000
Small guide on how to setup Rikaichan to use it to display kanji stroke orders here : http://pastebin.com/1rV3c2BB
Some anons probably don't know this is possible, so include the information into the guide."
,04/08/2016 09:54:40,"Simple, minor suggestion: 
centre the front page. 
It is a bit odd having the text centred but the page itself not. 

~
The もくじ image/text is cute
makes me grin a little every time I go to the page
nice personal touch"
,04/08/2016 13:52:50,"Yep, I wondered for a while what that might mean, why not write 目次　at least.
Oh wait, are you catering to baka-gaijins? Too bad, they won't be able to read that either."
,05/08/2016 05:42:43,"""why not write 目次""
Doesn't look as cute."
,06/08/2016 09:34:36,"Updated version of Dictionary of Japanese Grammar 
deck for Anki:
https://www.mediafire.com/folder/5c8bcxp9cxu0i/dicitonary_of_japanese_grammar_anki_deck

Contains fully reformatted formation tables with 
basic CSS on card template to mimic original but
now the user can bulk edit them using styling 
as opposed to the mess of a format the tables 
were originally in. Also contains a few dozen minor 
typographical corrections. 

Spreadsheet of data for anyone just after the updated 
formation table data:
https://docs.google.com/spreadsheets/d/1QM2mwLf5Ot5_rZye4bsCsCKtsSWdCcjZCD3cMy7Q0bg/edit?usp=sharing"
,08/08/2016 08:50:20,"Stupid question, but is there a description somewhere on how to update dojg deck without losing progress on previous one (timings info), and what to do with collection.media.zip (do I need to do anything if I already synced previous version of deck with media to ankiweb?). So far it's confusing enough I hesitate to update."
,08/08/2016 09:12:37,"I hope this will be helpful to someone, took me quite a while to compile, here's the deck, or rather, vocabulary list compiled using the gensen tool
http://gensen.dl.itc.u-tokyo.ac.jp/gensenweb_eng.html
With source data being
nikkei/mainichi websites (fresh news from all the sections, from sports to technology), nikkei financial glossary, anime/tv professional glossaries
and (from lines around 22k+) various novels and ranobe, including
- monogatari series
- itoh keikaku
- yukikaze
- welcome to the nhk
- mardock scramble
- oreimo
- brave story
and many others
The file has been processed with http://textmechanic.com/text-tools/basic-text-tools/remove-duplicate-lines/ but it still has some amount of ""trash"" data due to gensen being what it is. That should not be much of a bother, though.
With about 83k entries, probably you should be capable of reading a wide variety of modern japanese after you anki the shit out of this (and dojg deck, obviously). If you just need boring/newspaper stuff, leave only the first 22k entries or so.
Example entries
雨霰
無意識レベル
外部要因
テロ阻止最前線
アジア学生交流環境フォーラム開幕
問題点職場
サービス精神
自動モニター
アシスタントディレクター
変態兄貴
http://www.mediafire.com/download/xul7gmub438byh2/terminology_deck_01.txt
Enjoy! If you have any suggestions on improvement, let me know."
,14/08/2016 14:54:48,Is the CoR maintainer dead?
,14/08/2016 18:55:05,Is anyone still maintaining the site/monitoring feedback? 
,15/08/2016 23:28:17,"Can the (PUBLIC QC) link on the front page please be updated with the following:
https://docs.google.com/spreadsheets/d/1NB-Vw5Btt9r5CUgxqtZtzxr9_9LhnFAnR1LbuvJexgw/edit?usp=sharing

I am taking up the previously abandoned project of converting the DoJG
concept entry Notes image files to plain text and have a drawn up a
spreadsheet as by request of anons. "
,19/08/2016 07:43:26,"FYI another anon created a clone since the current maintainer is absent.

http://djt.neocities.org/"
,20/08/2016 04:53:39,"Can the (old) links be removed from the front page. 
Also, could either the DoJG link be replaced by the newer 
site based version
http://bunpou.neocities.org/
Or have the above added. It's really useful. "
,21/08/2016 18:00:46,"Here's a replacement upload for FMP

Full Metal Panic! 
https://mega.nz/#!8tFVRCKD!SNAYyzR8w-npTmGM5KLJd3mZ1JEBsl3koDqVP8tfUWs"
,21/08/2016 21:00:28,"Thank you anon for the replacement link for FMP.
I've updated the dead link in the CoR. 
You can find it here:
https://docs.google.com/spreadsheets/d/1os1neIVvImccBWAIck7keh41UKj8FmbEoS_W5SgmGUM/edit?usp=sharing
Please feel free to upload anything else
and I will update the links the moment I notice. "
,28/08/2016 18:04:39,Does anyone check this any more? 
This form is monitored again.,16/10/2016 11:39:16,Previous feedback: https://docs.google.com/spreadsheets/d/1AUJqXq4ohnoK4QVw8xYyBKHrRtISF4HAsEPUf3PeRtQ/pubhtml
"Much better, thanks. I updated the link.",28/10/2016 05:02:28,"Manga: ご注文はうさぎですか？
Volumes: 1-5 (improved quality, ripped from digital source)
https://mega.nz/#F!5dgA1RwT!PGC6EjdDK2chjnpC8z7WYQ

CoR details: 
ご注文はうさぎですか？
Is the Order a Rabbit?
koi (mangaka)
四コマ、no furigana
Seinen (demographic)
Comedy  School Life  Slice of Life"
"Good idea. I checked the Ankidroid manual, and it recommended using a different method than this, so I added that to the Anki start-up guide: http://djtguide.neocities.org/anki.html#fonts Let me know if there's some reason to prefer the method you described.",31/10/2016 18:44:56,"If radicals and kanji are a problem on Android, explain how to add custom fonts in the Anki startup guide.

1) On a PC edit your cards to use the font you want
2) Put the required fonts into collection.media and synch the data to your Android
3) Create a a folder in the Ankidroid folder called fonts
4) Find the fonts in collection.media and copy it to the new fonts folder"
Thanks. I switched the link.,04/11/2016 14:16:25,"Better PDF of KKLC. Index page numbers match the book's page numbers, and the entire exordium has bookmarks. This helps guide users to individual sections of the exordium, which can help them avoid accidentally misusing the book.
https://i.4cdn.org/a/1478289061277.png
https://mega.nz/#!ncYFXTyJ!KXwmhJu4QogtPasf0wt_zxyGvIfnm4gXxKsmdIv51sQ"
Fixed.,04/11/2016 15:57:55,The CoR mistakenly claims that the ポケットモンスターSPECIAL (Pokémon Special) manga doesn't have furigana. Here is a page: http://i.imgur.com/l24eQqp.png
Cool. I added a Fonts section to the CoR and included that.,19/11/2016 16:18:51,I found another JIS2004 教科書体 font. https://mega.nz/#!zcw1SRTK!wQH-984RYWjbTfn0rDYgwqtn_8GcFplQMtEwO7Csxpc
,23/11/2016 02:10:04,The ending of the words is Raw Manga Thread.
Nice work anon. I'll add a link next to the raw manga thread on that page.,27/11/2016 16:46:36,Webring submission: http://compellingcontent.neocities.org/
Added.,02/12/2016 10:42:05,I think this would be a good addition the the guide resource list. It's an etymological dictionary. http://gogen-allguide.com/
"OK, I'll do that.",05/12/2016 10:28:08,"Allow robots to crawl non-CoR sections of the site

http://djtguide.neocities.org/robots.txt needs changing"
Looks good. I replaced the files in the current Mega link.,07/12/2016 20:33:46,"Suggested update for the DoJG decks linked on the 
DoJG site/deck QC page link: 

https://mega.nz/#F!lQoW1JRD!TnuRMc3XrSKoJGDvTzmuHw

It is the same deck as what is currently linked only with
a field added to the cards with a direct link to the entry found in 
the grammar reference page. All formatting, layout, media, etc. remains the consistent. 
Example, card for the concept ~言わず~と言わず
has a link to: 

http://djt.neocities.org/bunpou/full_day.html#㊤と言わず~と言わず

Under the concept name as shown on the card. 
Image: 

http://i.imgur.com/Giw9atW.png

This way even if the entries continue to be updated as referenced on the main page for the grammar reference link, the anchor points will remain the same for each entry."
"I can if you don't mind a little JavaScript. Try clicking the moon icon at the top right of the site. Let me know if anything's broken. I'll try to make it a bit less ugly later.


",10/12/2016 15:51:36,Would it be possible to implement a night mode option?
"I'll try to make it only invert images that do not induce pants-shitting.

",11/12/2016 21:55:00,Nightmode on the pages inverted the images and made me shit my pants. 
"OK, since they apparently don't want to be on it.


",15/12/2016 19:48:52,remove wizardchan from the webring. 
Thanks. It's up.,19/12/2016 13:56:31,"A History of the Japanese Language
https://mega.nz/#!iFAnxZZJ!Yy1dI10MrmxwNflTfA4wMoZTNFJJvwJr4RxABOII2yw"
I don't control the grammar site. I'll post your feedback on one of the threads for that anon.,21/12/2016 06:49:03,"Could you please fix night mode option for advanced grammar.

Thanks."
"Fixed.

",24/12/2016 22:33:46,Minor typo in the CoR manga section: http://i.imgur.com/fL30eNX.png
"I'll put it next to the Yotsuba Reading Pack on the resources page, since it could be helpful to beginners in a similar way.

",25/12/2016 11:11:22,"I transcribed a little more than half of the first volume of Sayonara Zetsubou Sensei. I don't know where this would go, but here it is. 
http://pastebin.com/zqDeuDpS "
"Thanks, added it to the CoR as ""MNewsM"".",30/12/2016 14:38:09,"two fonts: https://mega.nz/#!OY4D1aCS!cYCyeW76Y1g1vL3fkt_8vUaLvg68laAiLqGrDPnuxFY
picture of one of them: http://i.imgur.com/Rl4yOJs.png
other is an alternate version"
Implemented. Nice work.,31/12/2016 04:19:20,"Some data which may or may not be of use: 
https://docs.google.com/spreadsheets/d/1zMZvunb_99sJ_F4PcCOyOezstQTSY1P_0j9TmUajaHM/edit?usp=sharing
It is a copy of the 漫画 sheet of the CoR, with the magazines each of the 少年、青年、少女、and 女性 entries. 
Figured that something like that may help anons find something they like, by picking something serialised in the same magazine as something else they enjoyed. "
That will be helpful.,01/01/2017 00:21:31,"One further note on the previous google spreadsheet link: 
I've drawn up another sheet with the manga entries from the Dead Links
sheet and added the magazine serialisation column, for the sake of 
ease for any future re-uploads being moved back to the main page. "
"Thanks, added that to the キノの旅 mega folder (renamed ""[時雨沢恵一] キノの旅 第01巻 [retail] HTML.7z"").",01/01/2017 03:19:01,"Kino's Journey, first volume LN inside キノの旅旅 第01巻 HTML.7z:

https://mega.nz/#!09pC1D6L!zvF2WeJoV6jbIQnhDgNYiZCrLFNzf8aaW6qu0jcjqhE

Images included, style.css edited somewhat. Original css included."
"Great, added that one as well.",03/01/2017 02:37:29,"Second retail volume of キノの旅:
https://mega.nz/#!gg4WhJTB!b33DsiBGz9LIHKDHy3c0AyR-GFijNkU51duuSc0XuJk

"
"Added, thanks.",10/01/2017 21:40:31,"Why is 紫色のクオリア not in the CoR?
Here: https://mega.nz/#!sYkxCAaD!jP9o5Qes8eP-2aZRoiD16xwkC6MS7-GhXUChGKjmX1s"
I don't administrate the grammar site.,13/01/2017 14:03:06,"The grammar reference no longer has the pages for each individual section (idk if intentional or not), and loading all of it at once tends to slow my browser down a bit."
I've never seen them posted. Maybe someone will share them.,14/01/2017 12:03:37,"Jalup decks would be a great addition.

(http://japaneselevelup.com/jalup-beginner-1000-stage-1/)"
Done.,03/02/2017 21:30:21,"https://warosu.org/jp/thread/S16439470#p16451782

Someone had trouble with the Kangxi Radicals deck because they used the SVG on an android phone. The SVG version uses astral unicode characters in the filenames of the SVG images, which doesn't work with all filesystems. It would be nice if the CoR were updated to state that the SVG version is intended to solve rendering problems *on windows XP* rather than in general."
,06/02/2017 17:41:12,Link to High School Girls is down (manga list).
Reuploaded both of them.,06/02/2017 18:01:49,Link to 夢使い is dead too.
"Good idea. I added an ""Images"" section to the CoR with a few things. Submissions are welcome.


",07/02/2017 22:39:25,"Idea: add a ""thread resources"" section for recommendation charts, OP pictures, random infographics, etc"
Thanks. I updated the links and descriptions.,13/02/2017 15:31:10,"Here are two anki decks for both Genki and Tobira. The Genki deck contains 1936 words (vs the incomplete 1200ish words in current one that is listed) as well as a much cleaner layout. The Tobira deck has the same # of words but is using the same layout and design as the Genki deck. 

Genki 1&2 : https://mega.nz/#!VAxziKJL!6P7AClhpQ-l87N5-H6P_HCL1rOU6v7lJIJ4LwCBCfew

Tobira: https://mega.nz/#!d4RSDCLb!4L4ddTeaND-yBWbnw0bSBK0KpBGSUHNFt5Nv_PQbbu8"
"Updated, thanks.",14/02/2017 03:05:19,"Kangxi Radicals 2017

https://mega.nz/#!IAVVlBab!qQazRubQ3VZ_WjjLS4CclxYQF-6QGRtnmwd_zGBZpIo

This is based on the SVG version except it's compatible with non-unicode filesystems. The filenames now contain the number and letter of the radical rather than its actual unicode character.

This also adds a new field for the media reference because anki no longer officially supports finding media from compound field references like <img src=""{{Expression}}"">. (It still works, but they could make it stop working at any time, and ankidroid is no longer incentivized to remain compatible with the way the deck used to work.)

This supersedes *BOTH* 2016 v6 (SVG version) and 2016 v5 (text version), because v5 has problems with OSs that have aggressive font aliasing such as certain linux distributions.

Two or three explanations were slightly changed to be easier to read."
,14/02/2017 03:06:14,"(The difference in filesize is because anki doesn't compress media files on export anymore, even if they're not already compressed.)"
"Added, thanks.",17/02/2017 01:48:42,"VN Difficulty Measuring Stick.png

http://boards.4chan.org/jp/thread/16579621#p16583510

imgur thrashes it by turning it into a jpg"
"I'll add it under the Dictionary section.


",06/03/2017 13:04:15,Here's an onomatopoeia dictionary that might be worth adding to the resource list. http://thejadednetwork.com/sfx/
"Fixed.



",08/03/2017 09:07:18,The archive files for BECK 第10巻 and ジョジョの奇妙な冒険 第083巻 are corrupted.
"Thanks, I'll change the link.



",10/03/2017 10:40:18,"I reuploaded 日本語文型辞典, since the link in the CoR is dead. https://mega.nz/#!rQhWRRbT!zlorxzseOkEbb27sPGRSrwt9FqURIZxM0vjHm5gXk_M"
"Cool. Not sure where best to place it, but for now I put it at the top of the resource page, since that's where the old guide is linked.",12/03/2017 12:31:24,"Compelling Content added a long-form alternative to its main guide. It covers a lot of the same ground as the DJT guide but it was written from scratch by a single person and it's more direct. For example, its section on kanji tells you what to do, rather than categorizing kanji study methods and listing their flaws.

I don't think it can replace the current DJT guide in its current form, but they're both public domain, so I think giving it some visibility is a good idea.

https://compellingcontent.neocities.org/longguide.html"
"I think this issue only affects Firefox. You should be able to download it with Chrome. (I'll upload the next version of djtlibrary.7z somewhere else, I forgot about this limit.)



",19/03/2017 18:23:25,Mega no longer allows users to attempt to download very large files (just tried a 2.18GB one) through the web interface.
"Wouldn't be hard to implement with JavaScript. I'll do so after I finish the DJT Library update.
Update: Done.


",21/03/2017 23:56:09,Would it be possible to implement an option that lets you toggle between the CoR manga section's current sorting method and the old one (demographic > alphabetical)?
"I'll put them in the ""Videos"" section of the resource page for now, until we get more phonetics resources.",24/03/2017 11:56:25,"An anon linked this list of links to Dogen's series of phonetics videos the other day as they are unlisted and you would typically have to be one of his patrons to get access. http://pastebin.com/mER12tzm

I'm not for sure where in the guide these could go but potentially even a new section in resources for phonetics/pronunciation could be applicable."
"Fixed.

",30/03/2017 18:46:58,The copies of volumes 3 and 4 of Eromanga Sensei in the CoR have the pages all out of order which makes them unreadable. Get the fixed version from nyaa and while you're at it add volumes 5-8. https://www.nyaa.se/?page=search&cats=0_0&filter=2&term=%E3%82%A8%E3%83%AD%E3%83%9E%E3%83%B3%E3%82%AC%E5%85%88%E7%94%9F
"Replaced it, thanks.


",03/04/2017 10:27:41,unnamed japanese text analyzer should replace JTAT in the guide resources list. UJTA uses a better morphological analyzer than JTAT and produces a more verbose/useful frequency list. https://github.com/wareya/analyzer/releases
"The other site is run by someone else and not updated anymore.



",05/04/2017 19:55:37,Is https://djtguide.neocities.org/ the same as https://djt.neocities.org/? 
"There is the Git log, though it's a bit messy: https://git.fuwafuwa.moe/djt/djt/commits/master


",10/04/2017 06:17:44,Is there a way to see updates to the site?
"Fixed and added volumes 20-24.
",10/04/2017 07:00:40,"The file  伯爵と妖精 第13巻.7z is corrupted. 

Also this website http://lydiaandedgar.blog.163.com/album/#m=0&p=2 has the 伯爵と妖精 novels 20-22"
"You could try creating it again if you want. Might just be a bad time.


",12/04/2017 04:56:32,Did something happen to the thread on /int/? I haven't seen a new thread in a few days.
"Nice work. I took a look through some of the Japanese sentences and will post my nitpicking in the thread.


",12/04/2017 05:19:32,"@Maintainer: http://boards.4chan.org/jp/thread/16841145#p16850361

@Last poster: Yeah, /int/ thread has been dying early lately, not enough traffic to keep /int/'s speed from killing it."
I only have Shin Kanzen Master N3 (scanned by someone else). It's in the CoR now.,13/04/2017 05:44:10,"Thank your for your monumental work on this.

I'm here to request some stuff maybe a kind person can suffice it.

The new version of Kodansha's dictionary, can be the red or the yellow, actually the yellow is deeper, but you can use it if you just want to check the reading or the meaning of a homophone I guess.

ISBN-13: 978-1568364087
ISBN-10: 1568364083 

Kanzen Books n4 and n3, there is n2 and n1 I know that only n2 and n1 are decent to have but they give a nice transition from the english in the n4 and few english in n3 to JP→JP of n2 onwards.


日本語文型辞典 英語版 ―A Handbook of Japanese Grammar Patterns for Teachers and Learners - Basically 日本語文型辞典 with english explanations.

ISBN-10: 4874246788
ISBN-13: 978-4874246788"
"You'll need that homoerotic slang in the future, might as well learn it now.

",14/04/2017 14:54:05,"I'm hesitant to start Yotsubato because of its difficulty description: ""homoerotic slang that might throw off brand new readers."" "
,16/04/2017 13:23:54,"@below: read To Love Ru instead, it has lots of cute girls in lewd situations so there's no risk of it turning you gay."
"Was this in the CoR somewhere before? I added it anyway.


",20/04/2017 08:14:46,"An Integrated Approach to Intermediate Japanese link down, anyone can upload them? ありがとね。"
,20/04/2017 09:37:46,"To the user bellow, use tobira it's a way better, even if you used genki before."
"Thanks, replaced the link.",21/04/2017 03:00:43,"Dogen Phonetics: http://www.youtube.com/playlist?list=PLeK-ilb1gk6md2oCbjPh4Rl0lnXXOV22P

I went ahead and compiled the Dogen videos on the CoR in a YouTube playlist, since it's more convenient to use than a pastebin link.

I will also be paying the 10 dollars sometime in the near future (Maybe even today), so I will be updating it with whatever new videos he posts. I'll even download them and reupload them unlisted in case he ever deletes them."
"Done. (I added a sentence to the explanation section to avoid confusion.)


",03/05/2017 10:30:33,"DJT Kana would be more helpful if it accepted common IME abbreviations for kana like づ(du)、つ(tu)、し(si)、ち(ti), possibly after enabling them from options to avoid confusing people"
"That link is the old version. The up-to-date library is at: http://djt.netlify.com/
It was mentioned in the CoR but I'll add a link to the front page too.


",14/05/2017 07:40:26,"Maintainer anon, 
some anon has made an online library of sorts for light novels and novels,
here:
http://djtlib.surge.sh/
It's pretty awesome but I only found if accidentally by another anon
sharing the link. Would it be possible for this useful DJT resource
to be linked on the main page? I think it uses the light novels from 
the CoR. "
"I restored the All About Particles deck. I'm missing the Kanzen 1 & 2 decks. Does anyone have them?



",14/05/2017 20:02:24,"Some of the Anki decks are offline, like All About Particles
https://mega.nz/#F!Ftpg1BTa!ya1Z3cx-82jShT_4cD4ReA"
Y-you too.,16/05/2017 06:09:42,"Thanks for adding the library link on the front page. 
This is the best site for Japanese learners, bar none. 
＼(^o^)／"
"I downloaded these again and they worked fine with 7zip, winrar and Honeyview. Try redownloading. I can upload them to a different host if it still doesn't work for you.
 

",17/05/2017 11:32:40,"聲の形 and volumes 4,8,12,16,24, and 28 of さよなら絶望先生 are corrupted and I was unable to extract them. I'd be greatly appreciative if anyone would be willing to re-upload them. Thank you."
"All that matters to me is the format of the archive filename: タイトル 第01巻, etc.

 
",18/05/2017 11:13:15,"I have some manga scans I'd like to submit to the CoR, and I was wondering if there are any naming/organization/etc. conventions you'd like me to follow. Thank you for your work, it is greatly appreciated."
,18/05/2017 19:21:40,"To previous poster: Please use zip/cbz and not rar/7z. Image files are already individually well-compressed, rar files have edge case compatibility problems off windows, and 7z archives with tons of files in them (like whole volumes of manga) make some comic reading software lag."
"I like Neocities, but keeping the site in sync with my local version through the web interface is annoying. Uploading more than a few dozen files can be unreliable because uploads may fail without notice.

Netlify allows free users up to 100GB storage. Updating is easy because it automatically syncs with your Gitlab/Github repository. (The DJT Library is on Gitlab.) However, every time I make an update Netlify needs to download the entire 3GB repo from Gitlab, taking 30 minutes to deploy and failing half the time either because of the size or number of files. I try to make updates sparingly in case they get tired of me taxing their service.  You can also use it without Git, which I haven't tried -- it might be better.

I briefly used surge.sh for the library. It was easy to deploy, but after I uploaded the site they added an unspecified storage limit that prevents me from updating. Surge also needs to upload the entire site from your computer every time you make any change.

There are a few other decent looking free static hosts: Gitlab Pages (10GB limit), Github Pages (1GB) and Firebase (1GB).  

",20/05/2017 13:00:39,I've been ripping VN scripts for corpus linguistics reasons. Where should I share them? A neocities site? The platform you use for the library?
"Cool. I'll link it under the text analyzer. There are a few more VN scripts in the CoR's collection of 5000 .txt novels (may not be individually linked):
CROSS†CHANNEL
Always ふと、気が付けばキミとの日常
つよきす
うみねこのなく頃に
るいは智を呼ぶ


",20/05/2017 21:42:51,https://vnscripts.neocities.org/
"Nice site. I'll mention it in the manga section of the CoR.
Here is a tab-separated list that you can import into Google Sheets: https://djtguide.neocities.org/assets/manga.tsv

",25/05/2017 02:29:48,"Maintainer anonへ
Have a bit of a request. You see, I'm putting together a little
visual representation of a manga spreadsheet I'm putting 
together. This is the reference sheet:
https://docs.google.com/spreadsheets/d/1jcn7Z4tbdRblEGnq6jzfW_sc-cOekTSs_N8z7mqb8Uc/edit?usp=sharing

This is the work in progress site:
https://moemanga.neocities.org/

The request is if it would be possible if I could be provided
with an Excel copy or Google Sheets copy of the below:
https://djtguide.neocities.org/cor.html#manga

The reason being is that I am thinking about expanding the 
page to encompass the manga page of the cornucopia of 
resources. The general idea is to encourage anons to read
get more interested in reading by having a more visual 
representation of what is available. 
The library page on the DJT page was the inspiration."
"Addressed most of these.

It's definitely possible to start reading before the end of your grammar guide, but I think it's better to read up to at least a certain point, and since that point varies between guides, ""the end"" is the simplest recommendation.

The Sakubi anon said that he was revising the guide a while ago.",26/05/2017 00:34:27,"Pedantic guide suggestions:

When Yotsubato is mentioned in the Guide, it should bring up the reading pack. It's not brought up at least once. Without the reading pack, Yotsubato is essentially an ordinary easy manga, and not special to learners over other easy manga.

>Tae Kim should serve you fine for the easiest manga, but it only covers the most common grammar

""easiest"" -> ""easy"", ""but it only covers basic grammar"".

>After finishing Core2K, you’ll at least know the majority of words in a given sentence, but you will still have to look up many words per page.

""at least know"" -> ""be able to recognize""

>These logographic characters of varying complexity represent words or parts of words in conjunction with the kana. 

""In conjunction"" means ""when paired"", and because the string of text ""or part of words in conjunction with the kana"" can easily be interpreted as saying that Kanji are words, or are parts of words when paired with kana. ""These logographic characters of varying complexity represent parts of words, or sometimes whole words, as can the kana.""

>Japanese high school students are required to learn at least 2136 kanji as part of the curriculum, but around 3,000 are used in all facets of life.

""but up to around 3000 are used somewhat regularly in modern life"" (the ""up to around"" part is the important part to me there)

>Lookup a chart 

""Look up""

>You should also install Rikaisama (Firefox) or Rikaikun (Chrome),

Yomichan should be recommended as well for Chrome.

>You can do so either before starting vocab or at the same time, but you should try to finish up in a few months so you can focus on vocabulary.

More emphasis should be placed on quickness here, when starting kanji study before vocab study.

>Once you have read through your chosen grammar guide, you are ready to start reading Japanese. 

I appreciate the choice of the phrase ""read through"" instead of ""finish"" here, but it also shouldn't sound like people aren't ready to start reading just because they haven't gotten to the end of it yet.

By the way, what happened to Sakubi? Is it still bad?"
Let me know if you need any coding help or whatever. Your site is already very useful.,28/05/2017 17:00:38,"moemanga anon here
thank you so much for the CoR.tsv file
After some minor site teething issues 
I'm now looking to merge the cornucopia
manga entries. 

The raw CoR data is making this world's
easier and may not take long for sections
to be up"
Works well.,29/05/2017 23:13:46,"moemanga anon here (again)
a little update:
the highlight buttons now highlight the entire test
description area of a single entry
-trade off: individual genre tags are not highlighted
with a clear selection button with each entry

also added a simple button which allows
anons to scroll back to top with a single 
press, for navigation ease. 
It may not be useful at the moment but
I figure once the rest of the CoR contents
are added, it will end up rather long in the
tooth and make scrolling to the top 
manually a pain. 

 "
